host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,days_as_host,host_response_time_hours,bathroom_type,amenities_count,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room,bathroom_type_,bathroom_type_bath,bathroom_type_baths,bathroom_type_half-bath,bathroom_type_private bath,bathroom_type_shared bath,bathroom_type_shared baths
100,78,1,7.0,9.0,1,1,13.71934,100.5176,Private room,2,1.0,1,1,1650.0,2,365,1,3,3,29,304,36,5,1,4.8,4.71,4.86,4.83,4.89,4.77,4.85,0,7,0,3,0,0.21,5335,1,private bath,21,0,0,1,0,0,0,0,0,1,0,0
100,78,1,7.0,9.0,1,1,13.71802,100.51539,Hotel room,2,1.0,1,1,1536.0,2,14,1,22,52,82,357,210,2,0,4.8,4.77,4.85,4.87,4.85,4.74,4.69,0,7,0,3,0,1.24,5335,1,private bath,17,0,1,0,0,0,0,0,0,1,0,0
0,0,0,3.0,9.0,1,1,13.73378,100.56303,Entire home/apt,5,3.5,3,3,5601.0,28,365,1,0,10,40,315,147,0,0,4.77,4.84,4.85,4.86,4.89,4.86,4.76,0,1,1,0,0,0.91,5138,72,baths,31,1,0,0,0,0,0,1,0,0,0,0
100,100,0,1.0,1.0,1,1,13.74902,100.55652,Entire home/apt,2,1.0,1,1,1366.0,90,1125,1,27,57,87,184,96,1,0,4.92,4.99,4.96,4.96,4.97,4.77,4.86,0,1,1,0,0,0.64,4864,1,bath,38,1,0,0,0,0,1,0,0,0,0,0
100,93,1,2.0,4.0,1,1,13.71905,100.50414,Entire home/apt,4,2.0,2,2,1810.0,30,60,1,0,26,56,331,81,0,0,4.79,4.82,4.74,4.66,4.75,4.75,4.71,0,2,2,0,0,0.53,4861,1,baths,18,1,0,0,0,0,0,1,0,0,0,0
100,82,0,1.0,2.0,1,1,13.75983,100.54134,Entire home/apt,2,1.5,1,1,1878.0,15,240,1,27,57,87,362,65,1,0,4.86,4.95,4.82,4.97,4.91,4.66,4.75,0,1,1,0,0,0.42,5495,1,baths,25,1,0,0,0,0,0,1,0,0,0,0
100,100,0,1.0,1.0,1,1,13.68556,100.49535,Private room,2,1.0,1,1,1537.0,3,1095,1,20,50,80,355,1,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,1,0,1,0,0.01,5377,1,bath,30,0,0,1,0,0,1,0,0,0,0,0
0,74,0,1.0,2.0,1,1,13.721868,100.771713,Private room,2,1.5,1,1,1200.0,1,365,1,30,60,90,365,71,15,0,4.63,4.61,4.7,4.83,4.7,4.56,4.61,0,1,0,1,0,0.58,5092,72,baths,41,0,0,1,0,0,0,1,0,0,0,0
100,79,0,1.0,9.0,1,1,13.7285,100.52313,Entire home/apt,2,1.0,1,1,1090.0,7,365,1,2,12,13,80,74,9,0,4.2,4.52,4.3,4.21,4.18,4.34,4.21,0,1,1,0,0,0.47,5653,1,bath,47,1,0,0,0,0,1,0,0,0,0,0
100,100,1,7.0,9.0,1,1,13.83148,100.52102,Entire home/apt,2,1.5,1,1,1050.0,3,365,1,16,39,69,159,25,1,0,5.0,5.0,4.92,4.88,4.96,4.6,4.92,0,7,7,0,0,0.17,5062,1,baths,30,1,0,0,0,0,0,1,0,0,0,0
